# 등급대별 통합 분석 보고서

이 보고서는 각 등급대별로 지원 가능한 학교, 전형, 계열, 모집단위(학과)를 통합적으로 정리한 자료입니다.

## 1.0-1.5등급 (총 16개 사례)

| 대학 | 계열 | 모집단위 | 전형유형 |
|------|------|----------|----------|
| 강원대(춘천) | 자연 | 수의예과 | 교과 |
| 고려대 | 인문 | 자유전공학부 | 교과 |
| 고려대 | 인문 | 자유전공학부 | 종합 |
| 서강대 | 인문 | 지식융합미디어학부 | 교과 |
| 서울교대 | 공통 | 초등교육학과 | 교과 |
| 서울교대 | 공통 | 초등교육학과 | 교과 |
| 서울교대 | 공통 | 초등교육학과 | 종합 |
| 서울대 | 인문 | 역사교육과 | 종합 |
| 성균관대 | 인문 | 사회과학계열 | 교과 |
| 연세대 | 공통 | 간호학과 | 교과 |
| 연세대 | 인문 | 경영학과 | 교과 |
| 연세대 | 인문 | 교육학부 | 종합 |
| 연세대 | 인문 | 교육학부 | 종합 |
| 중앙대 | 인문 | 경영학부(경영학전공) | 교과 |
| 한국교원대 | 공통 | 초등교육과 | 종합 |
| 한양대 | 인문 | 정보시스템학과(상경) | 교과 |

--------------------------------------------------

## 1.5-2.0등급 (총 35개 사례)

| 대학 | 계열 | 모집단위 | 전형유형 |
|------|------|----------|----------|
| DGIST | 자연 | 융복합대학기초학부 | 종합 |
| UNIST | 자연 | 이공계열 | 종합 |
| UNIST | 자연 | 이공계열 | 종합 |
| 가천대(메디컬) | 자연 | 간호학과 | 교과 |
| 가천대(메디컬) | 자연 | 약학과(6년) | 종합 |
| 건국대 | 인문 | 경영학과 | 교과 |
| 건국대 | 인문 | 응용통계학과 | 교과 |
| 경인교대 | 공통 | 초등교육과 | 종합 |
| 경희대 | 자연 | 간호학과(자연) | 종합 |
| 고려대 | 인문 | 보건정책관리학부 | 교과 |
| 고려대 | 자연 | 식품공학과 | 교과 |
| 서강대 | 인문 | 글로벌한국학과 | 종합 |
| 서강대 | 인문 | 글로벌한국학부 | 종합 |
| 서강대 | 인문 | 영문학부 | 교과 |
| 서강대 | 인문 | 유럽문화학과 | 종합 |
| 서울교대 | 공통 | 초등교육학과 | 종합 |
| 서울시립대 | 인문 | 경영학부 | 종합 |
| 서울시립대 | 인문 | 국제관계학과 | 종합 |
| 성균관대 | 인문 | 사회학과 | 교과 |
| 성균관대 | 인문 | 아동청소년학 | 교과 |
| 성균관대 | 인문 | 아동청소년학과 | 교과 |
